Year,Game_Title,Platform,Weeks,Yearly_Sale,Total_Sale,Area,Weeks Avg
2016,Uncharted (PS4),PS4,34,8298741,8298741,Global,244080.617647059
2013,Battlefield 4,PS3,10,2410621,2410621,Global,241062.1
2013,FIFA Soccer 14,X360,15,3563482,3563482,Global,237565.466666667
2012,Nintendo Land,WiiU,6,1424154,1424154,Global,237359
2014,Halo: The Master Chief Collection,XOne,8,1877850,1877850,Global,234731.25
2007,Call of Duty 4: Modern Warfare,PS3,8,1861517,1861517,Global,232689.625
2016,FIFA 17,XOne,14,3238673,3238673,Global,231333.785714286
2009,Uncharted 2: Among Thieves,PS3,12,2770319,2770319,Global,230859.916666667
2013,Super Mario 3D World,WiiU,7,1605148,1605148,Global,229306.857142857
2015,Rainbow Six: Siege,PS4,5,1142590,1142590,Global,228518
2011,Batman: Arkham City,X360,11,2506376,2506376,Global,227852.363636364
2016,The Last Guardian,PS4,4,908078,908078,Global,227019.5
